Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
FAM104A	17	73207353	73236753
HLA-DQB2	CHR_HSCHR6_MHC_DBB_CTG1	32735261	32742700
SMARCA1	X	129446501	129523500
GOPC	6	117560269	117602542
MAP2K6	17	69414698	69543331
ATG5	6	106184476	106325820
TMEM86A	11	18693122	18704785
TRPM5	11	2404515	2423045
DENND3	8	141117278	141195808
CLN8	8	1755778	1786572
GJB3	1	34781189	34786369
PROM1	4	15963076	16084378
B3GNTL1	17	82942155	83051810
OR51B6	11	5351508	5352446
SERPINE3	13	51335773	51364735
C22orf24	22	31933521	31945518
IMMP1L	11	31432401	31509645
SPINK14	5	148169733	148175398
KRTAP13-3	21	30425265	30425968
MAPT	CHR_HSCHR17_1_CTG5	46069784	46203150
KLHL23	2	169694488	169776989
IGFBP4	17	40443461	40457731
AKAP2	9	110048598	110172512
KIR2DL1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54769756	54784259
NCR3	CHR_HSCHR6_MHC_DBB_CTG1	31571039	31575129
KRT10	17	40818117	40822595
ARID5B	10	61901300	62096944
PRDM12	9	130664594	130682981
CYB5D1	17	7857746	7862282
CCAR1	10	68721012	68792377
FGL2	7	77193371	77199826
RBCK1	20	407498	430966
SLC22A17	14	23346306	23352912
KRTAP10-1	21	44538981	44540195
TMEM37	2	119429901	119438520
SPECC1L	22	24270817	24417740
NDUFA3	CHR_HSCHR19LRC_COX1_CTG3_1	54102906	54107026
GP6	CHR_HSCHR19LRC_PGF1_CTG3_1	54942120	54966679
PEX26	22	18077920	18131138
GP6	CHR_HSCHR19LRC_COX1_CTG3_1	54942736	54967295
NPC1	18	23506184	23586898
SNX3	6	108211222	108261260
MTA3	2	42494569	42756947
TERF2	16	69355561	69408571
ASAH1	8	18056425	18084985
CD151	11	832843	839831
CAB39	2	230712845	230821075
G6PC	17	42900797	42913369
MST1	3	49683947	49689501
CD300E	17	74609887	74623738
TARM1	CHR_HSCHR19LRC_COX1_CTG3_1	54069947	54081380
CILP	15	65194758	65211488
CFD	CHR_HSCHR19_5_CTG2	859680	863666
TSEN34	CHR_HSCHR19LRC_LRC_S_CTG3_1	54190866	54195141
RNF5	CHR_HSCHR6_MHC_APD_CTG1	32245363	32247802
MACROD1	11	63998558	64166106
MTX1	1	155208699	155213824
KIAA1257	3	128909866	129002690
NCR1	CHR_HSCHR19LRC_LRC_S_CTG3_1	54913845	54920784
TARM1	CHR_HSCHR19LRC_LRC_T_CTG3_1	54069947	54081380
SATB1	3	18345387	18445588
LELP1	1	153203443	153205120
TTK	6	80003887	80042527
XPNPEP2	X	129738974	129769538
INIP	9	112683926	112718236
CHD4	12	6570083	6607476
RBM24	6	17281346	17293875
PLAU	10	73909177	73917497
CELA3A	1	22001656	22012539
VSTM1	CHR_HSCHR19LRC_COX1_CTG3_1	54040833	54063953
AHSA2	2	61177418	61191203
BTN3A2	6	26365159	26378320
NLRP2	CHR_HSCHR19LRC_LRC_T_CTG3_1	54909282	54945138
C5orf52	5	157671553	157680143
COL9A3	20	62816244	62841159
SPIRE2	16	89818179	89871319
ZBTB2	6	151364117	151391548
HS3ST6	CHR_HSCHR16_4_CTG1	1913487	1920464
DES	2	219418377	219426739
HRNR	1	152212082	152224193
FAM160A2	11	6211335	6234711
TFPT	CHR_HSCHR19LRC_LRC_I_CTG3_1	54107066	54115801
MSANTD4	11	105995623	106022403
PRPF31	CHR_HSCHR19LRC_LRC_J_CTG3_1	54115536	54131896
TMC4	CHR_HSCHR19LRC_LRC_S_CTG3_1	54160649	54173691
ENTPD4	8	23385783	23457695
TFPT	CHR_HSCHR19LRC_LRC_S_CTG3_1	54107066	54115801
TMC4	CHR_HSCHR19LRC_COX2_CTG3_1	54160649	54173691
OSCAR	CHR_HSCHR19LRC_COX1_CTG3_1	54094681	54102740
OR5M3	11	56469574	56470497
PPEF1	X	18675909	18827921
TARM1	CHR_HSCHR19LRC_LRC_I_CTG3_1	54069947	54081380
C2CD4A	15	62066977	62070917
POLR2G	11	62761544	62766710
AGER	CHR_HSCHR6_MHC_QBL_CTG1	32138576	32141932
LVRN	5	115962454	116027619
S100A7A	1	153416524	153423225
LUC7L	16	188969	229463
TFPT	CHR_HSCHR19LRC_LRC_J_CTG3_1	54107066	54115801
OSCAR	CHR_HSCHR19LRC_LRC_S_CTG3_1	54094681	54102740
TFPT	CHR_HSCHR19LRC_PGF2_CTG3_1	54107066	54115801
CNOT3	CHR_HSCHR19LRC_LRC_J_CTG3_1	54138182	54156191
KIAA1755	20	38210488	38260772
METTL7B	12	55681546	55684611
ZNF45	19	43912629	43935278
BAIAP2L1	7	98291651	98401068
CSNK2B	CHR_HSCHR6_MHC_MCF_CTG1	31741515	31749825
MBOAT7	CHR_HSCHR19LRC_COX2_CTG3_1	54173854	54190480
PSME3	17	42824385	42843758
ENTPD8	9	137434364	137441816
SLC4A5	2	74216242	74343414
SESN1	6	108986437	109094819
TMEM154	4	152618632	152680165
MNT	17	2384060	2401118
NDUFA4L2	12	57234903	57240715
AC021066.1	12	52241481	52241613
DIAPH2	X	96684663	97604997
RHBDD2	7	75842602	75888926
ASCL4	12	107774385	107776644
GNPDA2	4	44682200	44726595
PSEN1	14	73136418	73223691
HIRIP3	16	29992321	29996436
IFT74	9	26947039	27062930
C8orf87	8	93134095	93166850
LENG1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54156127	54160192
PIRT	17	10822475	10838445
SLC9A3R2	16	2025356	2039026
FAM200B	4	15681662	15705565
SLC22A8	11	62989154	63015839
FAP	2	162170684	162245151
PRPF31	CHR_HSCHR19LRC_COX2_CTG3_1	54115536	54131896
PRPF31	CHR_HSCHR19LRC_COX1_CTG3_1	54115536	54131896
CHMP2B	3	87227271	87255548
TSC22D3	X	107713221	107777342
FRMPD2	10	48156558	48274870
RNF13	3	149812708	149962139
ST3GAL2	16	70375978	70439237
PRPF31	CHR_HSCHR19LRC_PGF2_CTG3_1	54115536	54131896
CNOT3	CHR_HSCHR19LRC_LRC_S_CTG3_1	54138182	54156191
LENG1	19	54155161	54159882
CCL4	CHR_HSCHR17_10_CTG4	36103827	36105621
ZNF565	19	36182060	36246257
ACACA	17	37084988	37406818
CCL15	CHR_HSCHR17_7_CTG4	35996472	36002080
DHX16	CHR_HSCHR6_MHC_DBB_CTG1	30643349	30663298
HAL	12	95972662	95996365
TFPT	CHR_HSCHR19LRC_LRC_T_CTG3_1	54107066	54115801
TMC4	CHR_HSCHR19LRC_LRC_J_CTG3_1	54160649	54173691
AIF1	CHR_HSCHR6_MHC_MCF_CTG1	31691477	31693314
KAT7	17	49788555	49835030
CHM	X	85861180	86047562
BTF3	5	73498408	73505635
KRT2	12	52644558	52652164
ZNF695	1	246945547	247008093
ANKRD6	6	89433170	89633834
UBQLN4	1	156035301	156053794
CLCC1	1	108929508	108963457
CNOT3	CHR_HSCHR19LRC_LRC_I_CTG3_1	54138182	54156191
FAN1	CHR_HSCHR15_4_CTG8	31055318	31094547
ST6GAL2	2	106801600	106887108
MCTS1	X	120594010	120621074
MAP2	2	209424058	209734118
SERPINF1	17	1761959	1777574
CTSZ	20	58995185	59007247
TNFRSF10C	8	23084355	23117437
CCHCR1	CHR_HSCHR6_MHC_DBB_CTG1	31136168	31151940
VSTM1	CHR_HSCHR19LRC_LRC_S_CTG3_1	54040833	54063953
FLOT1	6	30727709	30742733
RRP8	11	6595075	6603620
TMC4	CHR_HSCHR19LRC_LRC_T_CTG3_1	54160649	54173691
C10orf95	10	102449837	102451543
TFPT	CHR_HSCHR19LRC_PGF1_CTG3_1	54107066	54115801
TTC13	1	230906243	230978875
DNAJB1	19	14514770	14529770
GREM1	CHR_HSCHR15_4_CTG8	32798311	32814964
PLA2G4E	15	41981582	42051190
SLC16A9	10	59650761	59736002
TMPPE	3	33090421	33096801
RICTOR	5	38937919	39074408
IZUMO2	19	50152548	50163195
TSEN34	CHR_HSCHR19LRC_COX2_CTG3_1	54190866	54195141
MBOAT7	CHR_HSCHR19LRC_PGF2_CTG3_1	54173854	54190480
FIBCD1	9	130902438	130939286
COTL1	16	84565594	84618077
TARM1	CHR_HSCHR19LRC_PGF1_CTG3_1	54069947	54081380
UGCG	9	111896766	111935369
SURF2	9	133356552	133361169
ATP1A3	19	41966582	41997497
CHRNA7	15	32030488	32172521
GP6	CHR_HSCHR19LRC_LRC_J_CTG3_1	55046861	55071420
DENND4C	9	19230435	19373545
EIF3K	19	38619082	38636955
TMC4	CHR_HSCHR19LRC_PGF2_CTG3_1	54160649	54173691
CDC14B	9	96490241	96619830
STUB1	16	680224	682870
WEE2	7	141708353	141731271
DDX6	11	118747766	118791149
ADRB2	5	148825245	148828687
NLRP2	CHR_HSCHR19LRC_COX2_CTG3_1	54636119	54671975
SIRT4	12	120302316	120313249
OSCAR	CHR_HSCHR19LRC_LRC_J_CTG3_1	54094681	54102740
MZT2A	2	131464900	131492743
VSTM1	CHR_HSCHR19LRC_PGF1_CTG3_1	54040833	54063953
CALCOCO1	12	53708517	53727745
TRPT1	11	64223799	64226254
UBOX5	20	3107573	3160196
SLTM	15	58879045	58933653
NLRP2	CHR_HSCHR19LRC_LRC_I_CTG3_1	54970903	55006759
COG3	13	45464898	45536630
MED10	5	6371881	6378594
C1orf56	1	151047740	151051986
TEX13B	X	107980864	107982370
TSEN34	CHR_HSCHR19LRC_LRC_I_CTG3_1	54190866	54195141
GTF2H1	11	18322295	18367044
ARMS2	10	122454653	122457352
ADRA1A	8	26748150	26867273
COL24A1	1	85729233	86156943
C3orf38	3	88149743	88168729
OR8J3	11	56136771	56137718
AC011498.1	19	4385004	4385113
HNRNPM	19	8444767	8489114
KDM2B	12	121429097	121581015
PRDM6	5	123089121	123194266
TPST2	22	26521983	26596717
NUMBL	19	40665905	40690972
NDUFA3	CHR_HSCHR19LRC_LRC_T_CTG3_1	54102906	54107026
BBS1	11	66510606	66533627
AOC2	17	42844600	42850707
TAS2R4	7	141778442	141780819
CPEB2	4	15002674	15070153
FOS	14	75278774	75282230
NLRP2	CHR_HSCHR19LRC_LRC_S_CTG3_1	54972989	55008845
MBOAT7	CHR_HSCHR19LRC_LRC_T_CTG3_1	54173854	54190480
TPPP	5	659862	693395
CCDC102B	18	68715209	69055189
C16orf95	16	87083562	87317420
TECRL	4	64275257	64409468
RABIF	1	202878957	202889135
DDX39B	CHR_HSCHR6_MHC_APD_CTG1	31597175	31606140
CHRNA7	CHR_HSCHR15_4_CTG8	32181324	32319966
BTG4	11	111467526	111512354
GPX5	CHR_HSCHR6_MHC_COX_CTG1	28526012	28534951
RDH13	CHR_HSCHR19LRC_LRC_T_CTG3_1	54988322	55007215
GNG13	16	798041	800733
SYNPO2	4	118850688	119061247
RAB3B	1	51907956	51990764
ATG4C	1	62784135	62865513
PRPF31	CHR_HSCHR19LRC_LRC_S_CTG3_1	54115536	54131896
XXYLT1	3	195068279	195271167
OSCAR	CHR_HSCHR19LRC_PGF1_CTG3_1	54094681	54102740
TARM1	CHR_HSCHR19LRC_LRC_S_CTG3_1	54069947	54081380
PRPF31	CHR_HSCHR19LRC_PGF1_CTG3_1	54115536	54131896
RDH13	CHR_HSCHR19LRC_LRC_I_CTG3_1	55049943	55068836
SCD	10	100347124	100364834
ARHGAP27	CHR_HSCHR17_2_CTG5	45393902	45434423
CEP104	1	3812081	3857214
NCR1	CHR_HSCHR19LRC_PGF2_CTG3_1	54643934	54650873
CCDC88A	2	55287842	55419921
RPL28	19	55385345	55403250
TIMM13	19	2425624	2427894
KHNYN	14	24429286	24441834
CNOT3	19	54137728	54155681
ZNF619	3	40477113	40490236
HTR3E	3	184097064	184106995
AKR1E2	10	4786629	4848062
PLCD4	2	218607765	218637184
MX2	21	41361943	41409390
GP6	CHR_HSCHR19LRC_LRC_I_CTG3_1	55019324	55043883
TOM1	22	35299275	35347994
RSBN1	1	113761832	113812476
ANKIB1	7	92246234	92401384
TTLL10	1	1173884	1197935
NAPSA	19	50358477	50365830
DEFB110	6	50009138	50021981
AQP8	16	25215731	25228940
STXBP5L	3	120908072	121424761
NDUFA3	CHR_HSCHR19LRC_LRC_S_CTG3_1	54102906	54107026
VPS16	20	2840703	2866732
WNT3	CHR_HSCHR17_1_CTG5	47057885	47113984
BRWD1	21	39184176	39321559
LHX2	9	124001670	124033301
C10orf111	10	15095385	15097319
ETV2	19	35641745	35644871
LLGL1	17	18225587	18244875
DTNA	18	34493290	34891844
FBXO11	2	47789316	47905793
SRSF7	2	38743599	38751494
LENG1	CHR_HSCHR19LRC_LRC_T_CTG3_1	54156127	54160192
RIMS3	1	40620679	40665657
DCAF17	2	171434217	171485052
TBKBP1	17	47694081	47712050
EYA2	20	46894624	47188844
TJP1	CHR_HSCHR15_4_CTG8	29850002	29972346
KLRB1	12	9594551	9607886
ZNF155	19	43967862	43998325
TRIM39	CHR_HSCHR6_MHC_APD_CTG1	30390376	30410761
CNOT3	CHR_HSCHR19LRC_LRC_T_CTG3_1	54138182	54156191
PRICKLE4	6	41783474	41787129
KLF13	CHR_HSCHR15_4_CTG8	31478417	31529455
C19orf48	19	50797704	50804929
PER1	17	8140472	8156506
ZNF431	19	21142024	21196053
UBE2NL	X	143884071	143885248
LTB	CHR_HSCHR6_MHC_SSTO_CTG1	31571300	31573267
RCBTB2	13	48488959	48533256
TNFSF12-TNFSF13	17	7549099	7561601
OSCAR	CHR_HSCHR19LRC_LRC_I_CTG3_1	54094681	54102740
DLX4	17	49968970	49974959
WBP1	2	74458329	74460891
SP2	17	47896150	47928957
MRGPRF	11	69004395	69013409
FAM46A	6	81491439	81752774
CSN3	4	70242588	70251428
NDUFA3	CHR_HSCHR19LRC_PGF1_CTG3_1	54102906	54107026
GRM7	3	6770001	7741533
CRHR1	CHR_HSCHR17_1_CTG5	46261820	46313387
MTMR3	22	29883155	30030866
PDE1A	2	182140036	182523192
GLB1	3	32996608	33097230
VSTM1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54040833	54063953
ENPP1	6	131808016	131895155
HECTD2	10	91409280	91514829
TARM1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54069947	54081380
TPPP2	14	21024109	21036276
EXOSC9	4	121801317	121817021
CPE	4	165361194	165498320
TSEN34	CHR_HSCHR19LRC_PGF2_CTG3_1	54190866	54195141
SPEM1	17	7420360	7421632
ZFP28	19	56538948	56556810
TPD52L3	9	6328375	6331900
RDH13	CHR_HSCHR19LRC_LRC_J_CTG3_1	55077480	55096373
PALMD	1	99645943	99694541
CHRDL1	X	110673856	110795819
TFPT	CHR_HSCHR19LRC_COX1_CTG3_1	54107066	54115801
BTBD2	19	1985438	2034881
RAB1B	11	66268533	66277492
GP6	CHR_HSCHR19LRC_COX2_CTG3_1	54684540	54709099
VSTM1	CHR_HSCHR19LRC_COX2_CTG3_1	54040833	54063953
GNL2	1	37566816	37595935
PCDHB13	5	141213919	141218979
ITGAX	16	31355134	31382997
KIR3DL3	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54724448	54736134
OCRL	X	129539849	129592561
CNTLN	9	17134982	17503923
PIGV	1	26787472	26798398
MKKS	20	10401009	10434222
NMT2	10	15102584	15168693
SNX27	1	151612065	151699091
NDUFA3	CHR_HSCHR19LRC_LRC_J_CTG3_1	54102906	54107026
C3orf14	3	62318973	62336213
TMC4	CHR_HSCHR19LRC_LRC_I_CTG3_1	54160649	54173691
SDCBP2	20	1309909	1329239
OR10X1	1	158578919	158579899
OR2L8	1	247948858	247949796
OR2T11	1	248626178	248627128
OR51F1	11	4768979	4769917
GPR75	2	53852913	53859989
OR52R1	11	4803433	4804380
KIR2DL1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54814475	54828769
OR51G1	11	4923374	4924339
OR51B2	11	5323359	5324297
OR2AG1	11	6785038	6785988
HLA-DRA	CHR_HSCHR6_8_CTG1	32446915	32452117
OR10A6	11	7927718	7928662
NCAPD3	11	134150119	134225454
OXCT1	5	41730065	41870519
OR4X2	11	48245104	48246015
OR4X1	11	48263861	48264778
NLRP2	CHR_HSCHR19LRC_COX1_CTG3_1	54894315	54930171
OR4C16	11	55572128	55573060
OR5D13	11	55773438	55774382
OR5L1	11	55811467	55812402
CETP	16	56961850	56983845
TARM1	CHR_HSCHR19LRC_PGF2_CTG3_1	54069947	54081380
OR8K3	11	56318307	56319245
OR5R1	11	56417258	56418232
OR5AR1	11	56663686	56664618
LSM11	5	157743695	157760709
ZNF789	7	99472841	99503650
OR6Q1	11	58030953	58031906
OAS2	12	112978395	113011723
ARID3C	9	34621379	34628107
PEX14	1	10472288	10630758
TACR2	10	69403903	69416867
OR8D2	11	124319262	124320197
OSCAR	CHR_HSCHR19LRC_LRC_T_CTG3_1	54094681	54102740
OR8B4	11	124423942	124424871
CCDC85B	11	65890112	65891635
OR5H6	3	98264285	98265262
OR1B1	9	122628579	122629535
FBF1	17	75910723	75938149
CAPS	19	5914407	5915322
OR12D2	6	29396700	29397623
FGF20	8	16992169	17002181
PRPF31	CHR_HSCHR19LRC_LRC_T_CTG3_1	54115536	54131896
KCNQ2	CHR_HSCHR20_1_CTG4	63414903	63466150
PVRL2	19	44846175	44889228
CD1A	1	158254137	158258269
MKNK1	1	46557408	46616843
NLRP6	11	278365	285359
ASS1	9	130444929	130501274
ACAD9	3	128879596	128916067
OR2S2	9	35957139	35958098
GRAMD1C	3	113828182	113947174
AKR1C3	10	5048812	5107503
KIF12	9	114086126	114099227
GINS1	20	25407727	25452628
TMBIM4	12	66137960	66169896
CNOT3	CHR_HSCHR19LRC_COX2_CTG3_1	54138182	54156191
C11orf71	11	114399960	114400331
ITPR3	6	33620365	33696574
BMP15	X	50910784	50916607
SUSD2	22	24181259	24189110
CD300LG	17	43847148	43863629
MMP10	11	102770503	102780628
PRRX1	1	170662728	170739419
NLRP7	CHR_HSCHR19LRC_LRC_J_CTG3_1	54956665	54980661
MAT2B	5	163503114	163519336
CLK2	1	155262868	155278491
CHST13	3	126524283	126543291
RHPN1	8	143368855	143384220
LCN2	9	128149071	128153455
DEFB112	6	50043575	50048651
NDUFA3	CHR_HSCHR19LRC_COX2_CTG3_1	54102906	54107026
LENG1	CHR_HSCHR19LRC_LRC_I_CTG3_1	54156127	54160192
KLHL36	16	84648525	84667686
TSTD2	9	97600080	97633575
TRPM3	9	70529063	71446904
MYT1	20	64151791	64242253
TIGD2	4	89111500	89114899
ODF4	17	8339864	8346046
NDUFA3	CHR_HSCHR19LRC_PGF2_CTG3_1	54102906	54107026
AL589988.1	10	199882	199981
NLRP7	CHR_HSCHR19LRC_COX1_CTG3_1	54852540	54876536
PPP1R11	6	30066709	30070333
KCTD4	13	45192853	45194717
ATP5F1	1	111448864	111462773
MPHOSPH10	2	71130314	71150101
DUSP14	CHR_HSCHR17_7_CTG4	37494470	37518136
SURF1	9	133351755	133356676
FTHL17	X	31071241	31072053
TXNDC9	2	99318982	99340702
TMEM91	19	41350911	41384083
TAS2R14	12	10937406	11171573
OR2AG1	11	6785017	6786014
CFB	CHR_HSCHR6_MHC_DBB_CTG1	31927837	31934271
TMEM56	1	95117338	95197607
ERLEC1	2	53787044	53818819
TIA1	2	70209444	70248660
RDH13	CHR_HSCHR19LRC_COX2_CTG3_1	54715159	54734052
CPNE2	16	57092537	57148367
BAMBI	10	28677342	28682939
GPRIN1	5	176595802	176610133
C15orf54	15	39250684	39254845
GPX6	CHR_HSCHR6_MHC_COX_CTG1	28510773	28515743
KCNG3	2	42442017	42494097
TMEM205	19	11342776	11346518
RPL18	19	48615328	48619536
NLRP2	CHR_HSCHR19LRC_PGF2_CTG3_1	54703078	54738934
SFTA2	CHR_HSCHR6_MHC_COX_CTG1	30921066	30921888
CYSTM1	5	140174642	140282052
RIPPLY2	6	83853266	83857515
PTGES2	9	128120693	128128462
CNOT3	CHR_HSCHR19LRC_PGF2_CTG3_1	54138182	54156191
AK5	1	77282051	77559969
C1orf186	1	206037231	206102459
ITGA8	10	15513949	15720125
ZBTB12	CHR_HSCHR6_MHC_MCF_CTG1	31976089	31978474
CYP4V2	4	186191520	186213456
PLA2R1	2	159932006	160062610
NCR1	CHR_HSCHR19LRC_COX1_CTG3_1	54835171	54842110
NFIX	19	12995608	13098796
ERCC6L2	9	95875701	96014571
NLRP7	CHR_HSCHR19LRC_PGF2_CTG3_1	54661303	54685299
TEX264	3	51662693	51704323
C11orf63	11	122882528	122959798
DCAF4	14	72926332	72959703
SFTPB	2	85657314	85668741
COL11A2	CHR_HSCHR6_MHC_SSTO_CTG1	33302792	33329578
QRICH1	3	49029707	49094363
VMAC	19	5904858	5910853
DNAH5	5	13690331	13944543
C17orf74	17	7425615	7427568
PALB2	16	23603160	23641310
RFC3	13	33818049	33966558
SV2C	5	76083172	76353939
KRR1	12	75490861	75511636
KLHL14	18	32672671	32773062
MARS2	2	197705369	197708387
HIST1H2BB	6	26043227	26123904
SLCO4C1	5	102233986	102296549
PKP3	11	392614	404908
SCG5	CHR_HSCHR15_4_CTG8	32721966	32777405
ZNF704	8	80628451	80874781
CD300LF	17	74694311	74712978
OR7D4	19	9213850	9214871
RIMS4	20	44751808	44810338
RBP4	10	93591687	93601744
OR6A2	11	6794627	6795783
GRM4	6	34018645	34155622
TRPM1	CHR_HSCHR15_4_CTG8	31152534	31312750
CDC42SE1	1	151050971	151070325
KRT38	17	41436446	41440921
POTEC	18	14507339	14543585
TSPAN1	1	46175073	46185958
TRHR	8	109086621	109119584
SEC14L6	22	30522799	30546682
FRS2	12	69470349	69579789
DRD4	11	637293	640706
TRMT61A	14	103529184	103537073
CRTC2	1	153947669	153958625
C17orf104	17	44656404	44690308
UCKL1	20	63939829	63956415
SAPCD1	CHR_HSCHR6_MHC_APD_CTG1	31829818	31831870
THBS3	1	155195588	155209051
RGS21	1	192316992	192367285
ISG15	1	1001138	1014541
PSG11	19	43007656	43026512
OR7E24	19	9250930	9252479
ST6GAL1	3	186930485	187078553
NTF3	12	5432112	5521536
ASH1L	1	155335268	155562807
HOXC6	12	53990624	54030823
GP6	CHR_HSCHR19LRC_LRC_T_CTG3_1	54957703	54982262
STK17B	2	196133566	196176503
KRT39	CHR_HSCHR17_4_CTG4	40958544	40967019
ZNF417	19	57900296	57916610
FAM118A	22	45308968	45341955
MANSC1	12	12326056	12350541
KLHL29	2	23385217	23708611
NLRP7	CHR_HSCHR19LRC_LRC_S_CTG3_1	54931214	54955210
OSCAR	CHR_HSCHR19LRC_PGF2_CTG3_1	54094681	54102740
RPS9	CHR_HSCHR19LRC_COX1_CTG3_1	54201241	54249371
TMEM102	17	7435443	7437679
NDUFA3	CHR_HSCHR19LRC_LRC_I_CTG3_1	54102906	54107026
C1orf53	1	197902647	197907367
RHD	1	25272393	25330445
IFT27	22	36758202	36776256
SPECC1	17	20009344	20319026
TMEM41B	11	9280654	9314780
KLHDC3	6	43014103	43021298
PPT2	CHR_HSCHR6_MHC_QBL_CTG1	32111042	32121288
CEACAM21	19	41549518	41586844
TNS3	7	47275154	47582558
STRN3	14	30893799	31026401
MAML2	11	95976598	96343180
CNN1	19	11538717	11550323
MSTN	2	190055697	190062729
FCER2	19	7688758	7702146
GLRB	4	157076057	157172090
RAB2B	14	21459020	21476973
C7orf26	7	6590017	6608726
MBOAT7	CHR_HSCHR19LRC_LRC_I_CTG3_1	54173854	54190480
SNRNP25	16	53010	57669
NIPAL2	8	98189833	98294393
CARD11	7	2906141	3043945
PEBP1	12	118135858	118145584
ELF3	1	202007945	202017188
ANO10	3	43354859	43691594
MBTPS1	16	84053761	84116906
RUNDC3B	7	87627548	87832296
PI4KB	1	151291797	151327715
QKI	6	163414000	163578596
TJP1	15	29699367	29968865
TNNT2	1	201359008	201377762
CYB561D2	3	50365334	50368197
ACSS2	20	34872146	34927962
KRTAP25-1	21	30289145	30289514
SOAT1	1	179293714	179358680
DDAH2	CHR_HSCHR6_MHC_MCF_CTG1	31803320	31806899
VSTM1	CHR_HSCHR19LRC_PGF2_CTG3_1	54040833	54063953
KRT23	CHR_HSCHR17_4_CTG4	40922696	40937634
TIMP2	17	78852977	78925387
ZMYM1	1	35059786	35115859
LY6G6F	6	31706885	31710595
DFFA	1	10456522	10472526
DKK1	10	52314296	52318042
RPL32	3	12834485	12841588
OTX1	2	63050057	63057836
HIST1H2BC	6	26114873	26123926
ZNF311	CHR_HSCHR6_MHC_QBL_CTG1	28994770	29005301
ANKRD34B	5	80556755	80570488
NOXA1	9	137423350	137434406
GSK3B	3	119821323	120094417
HYAL1	3	50299889	50312381
RDH13	CHR_HSCHR19LRC_COX1_CTG3_1	54973355	54992248
NFYA	6	41072945	41099976
FUT2	19	48695971	48705950
PROKR2	20	5302040	5314369
TAS2R43	12	11091287	11134244
CLPSL2	6	35776594	35779552
DRD3	3	114128652	114199407
SLC39A7	CHR_HSCHR6_MHC_MCF_CTG1	33370805	33374799
CELSR3	3	48636469	48662915
PEX7	6	136822564	136913937
SLC6A9	1	43991500	44031467
TAS2R50	12	10985913	10986912
CEP72	5	612272	667168
FUBP1	1	77944055	77979110
PRR11	17	59155499	59204705
GSTA3	6	52847910	52909685
LY6G5C	CHR_HSCHR6_MHC_SSTO_CTG1	31667433	31674786
FXR1	3	180868141	180982753
TICAM2	5	115578650	115602479
CES5A	16	55846154	55956031
GSDMA	17	39962973	39977766
CRTC3	15	90529925	90645345
HLA-DPB1	CHR_HSCHR6_MHC_COX_CTG1	32997896	33009106
GPSM3	6	32190766	32195523
SNRPN	15	24823637	24978723
NCR1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54939296	54946235
NODAL	10	70432315	70447951
H2AFV	7	44826791	44848083
KRTAP4-3	17	41167231	41168194
ZNF561	19	9604680	9621399
NEK8	17	28725897	28743455
DCLRE1A	10	113834725	113854383
UMOD	16	20333052	20356301
DPCR1	CHR_HSCHR6_MHC_MCF_CTG1	31019512	31029672
GNL1	CHR_HSCHR6_MHC_MANN_CTG1	30586013	30601810
ARID4B	1	235131634	235328219
PKIB	6	122471917	122726373
BARHL2	1	90711539	90717237
FAM127C	X	135020504	135022529
SLC22A3	6	160348268	160452581
GHRL	3	10285675	10292947
CD80	3	119524293	119559602
CD1C	1	158289786	158293630
ORMDL3	17	39921041	39927601
LRFN2	6	40391586	40587465
ACRC	X	71578411	71613583
LIPF	10	88664441	88678814
RHOD	11	67056818	67072013
SCML1	X	17737449	17754988
TAS2R43	CHR_HSCHR12_3_CTG2	11093151	11094080
CTC1	17	8224821	8248044
OR9G4	CHR_HG151_NOVEL_TEST	56753901	56754885
XKR6	8	10896045	11201366
BATF3	1	212686418	212699985
ERH	14	69380123	69398627
AGFG1	2	227472152	227561214
KIR2DL4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54848193	54859216
C6orf203	6	107028213	107051342
NBEAL1	2	203014879	203226378
TSEN34	CHR_HSCHR19LRC_LRC_T_CTG3_1	54190866	54195141
TRAPPC6A	19	45162928	45178237
KRTAP26-1	21	30319124	30320316
PNLIP	10	116545931	116567855
MAST2	1	45786987	46036124
HDHD3	9	113373419	113376999
CTTNBP2NL	1	112396181	112463456
NAA30	14	57390544	57415917
MPLKIP	7	40126023	40134659
KCNK13	14	90061765	90185857
TAS2R13	12	10907926	10909562
FAM110A	20	833715	857463
ZFP82	19	36383120	36418656
RAP1GDS1	4	98261384	98443861
SLAMF6	1	160485030	160523262
RFESD	5	95646754	95684773
GPC4	X	133300103	133415490
PCMTD2	20	64255695	64287821
SEBOX	17	28364268	28365244
RAD51	15	40694774	40732339
AVPR1B	1	206109692	206117699
NAPA	19	47487637	47515240
DNM1	9	128203352	128255248
GAL3ST2	2	241776825	241804208
DNAJC1	10	21756537	22003769
ASB13	10	5638867	5666595
NLRP7	CHR_HSCHR19LRC_LRC_T_CTG3_1	54867507	54891503
